Nama_Sekolah;Provinsi;Kota_Kabupaten;Kecamatan;NPSN;Status;Bentuk_Pendidikan;Status_Kepemilikan;SK_Pendirian_Sekolah;Tanggal_SK_Pendirian;SK_Izin_Operasional;Tanggal_SK_Izin_Operasional;Kebutuhan_Khusus_Dilayani;Nama_Bank;Cabang_KCP_Unit;Rekening_Atas_Nama;Status_BOS;Waktu_Penyelenggaraan;Sertifikasi_ISO;Sumber_Listrik;Daya_Listrik;Kecepatan_Internet;Kepsek;Operator;Akreditasi;Kurikulum;Waktu;Alamat;RT_RW;Dusun;Desa_Kelurahan;Kode_Pos;Lintang;Bujur;Guru_L;Guru_P;Guru_Total;Tendik_L;Tendik_P;Tendik_Total;PTK_L;PTK_P;PTK_Total;Peserta_Didik_L;Peserta_Didik_P;Peserta_Didik_Total;Ruang_Kelas;Ruang_Perpus;Ruang_Lab;Ruang_Pratik;Rombel;
SMKS INSAN MULIA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;69752149;Swasta;SMK;Yayasan;AHU-4903.AH.01.04;01/01/1900;421/2841/KP2TSP/2018;01/01/1900;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG  SENOPATI...;SMKINSANMULIAYOGYAKARTA...;-;-;-;-;;;Anjar Dewantari, S.KEP. NERS;;Tidak diisi;Kurikulum Merdeka;-;Jl.Gambiran No. 115, Prenggan, Kotagede, Yogyakarta;42 / 11;Gambiran;Pandeyan;55161;-7;110;0;9;9;4;3;7;4;12;16;16;76;92;9;1;1;0;6;
SMKS KESEHATAN CIPTA BHAKTI HUSADA YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20409894;Swasta;SMK;Yayasan;421/3500/KP2TSP/2017;18/05/2011;188/Dikmen/188;18/05/2011;Tidak ada;Bank Rakyat Indonesi;Unit Lempuyangan;SMK Cipta Bhakti Husada;-;-;-;-;;;Wijayanta;Yoggy Kurnia Perdana;Tidak diisi;Kurikulum Merdeka;-;Lowanu, Rt 61 Rw 16, Mulyorejo, Sorosutan, Umbulharjo, Yogyakarta;61 / 16;-;Sorosutan;55162;-7;110;2;11;13;2;3;5;4;14;18;20;281;301;10;1;1;0;10;
SMKS KOPERASI YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403290;Swasta;SMK;Yayasan;AHU.3784.AH.01.04.Tahun.2010;06/09/2010;421/4577/KP2TSP/2018;25/09/2018;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG  SENOPATI...;SMKKOPERASIYOGYAKARTA...;-;-;-;-;;;Aris Budiyanto;Muhammad Desy Nurwahyu;A;Kurikulum Merdeka;-;JL. KAPAS I NO. 5 YOGYAKARTA;26-Aug;-;Semaki;55166;-7;110;6;16;22;11;7;18;17;23;40;155;180;335;16;2;4;1;16;
SMKS MUHAMMADIYAH 1 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403285;Swasta;SMK;Yayasan;MPE.103/I/10/1707/1967;01/09/1977;0300/H/1986;08/05/1986;Tidak ada;BPD DIY;SENOPATI;SMK MUHAMMADIYAH 1 YOGYAKARTA;-;-;-;-;;;Widi Astuti;Rikky Handani Saputra;Tidak diisi;Kurikulum Merdeka;-;JL. NITIKAN NO. 48 UMBULHARJO YOGYAKARTA;01-Feb;SOROSUTAN;Sorosutan;55165;-7;110;10;18;28;6;4;10;16;22;38;315;150;465;16;2;4;0;21;
SMKS MUHAMMADIYAH 3 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403275;Swasta;SMK;Yayasan;0266/H/1986;08/05/1986;23628/MPK/74;24/07/1974;B - Tuna rungu;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SMKMUHAMMADIYAH3YK/BOSDA...;-;-;-;-;;;Kustejo;Anas Syaifullah;A;Kurikulum Merdeka;-;JL. PRAMUKA 62;02-Jan;-;Giwangan;55163;-7;110;42;28;70;17;4;21;59;32;91;914;122;1036;49;1;10;0;40;
SMKS PERKEBUNAN MM 52;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403310;Swasta;SMK;Yayasan;0287.H / 1986;08/05/1986;0287.H / 1986;08/05/1986;K - Kesulitan Belajar;BPD DIY;Cabang Senopati;SMK PERKEBUNAN;-;-;-;-;;;PURNOMO HADI SANTOSO;Purnomo Hadi Santoso;Tidak diisi;Kurikulum Merdeka;-;JL. KENARI NO. 65;23-Jul;Muja-Muju;Muja Muju;55165;-7;110;2;5;7;1;1;2;3;6;9;20;7;27;6;1;5;0;3;
SMKS SMF INDONESIA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20407373;Swasta;SMK;Yayasan;106/Pend;07/10/1965;400.3.8/527;16/04/2024;Tidak ada;BPD DIY;CABANG SENOPATI;SEKOLAH MENENGAH KEJURUAN INDONESIA YK;-;-;-;-;;;Ratih Dwi Lestari;Ridho Yunanto;Tidak diisi;Kurikulum Merdeka;-;Jl. Veteran, Gang Jambu RT 20 RW 05 Pandeyan Umbulharjo, Yogyakarta;0 / 0;Pandeyan;Pandeyan;55161;-7;110;5;20;25;5;10;15;10;30;40;28;229;257;10;2;4;1;12;
SD NEGERI BACIRO;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403488;Negeri;SD;Pemerintah Daerah;425/204;01/08/1955;422/2175;22/04/2022;K - Kesulitan Belajar;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDNEGERIBACIRO/BOSNAS...;-;-;-;-;;;Winur Purbo Sejati;PRADANA HIDAYAT;B;Kurikulum Merdeka;-;Jl Mawar No 17 A;45 / 12;Baciro;Baciro;55225;-7;110;1;10;11;2;2;4;3;12;15;49;36;85;7;1;1;0;6;
SD NEGERI BHAYANGKARA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403476;Negeri;SD;Pemerintah Daerah;422/2175;22/04/2022;422/2175;22/04/2022;Tidak ada;BPD DIY;Senopati;SD NEGERI BHAYANGKARA/BOSNAS;-;-;-;-;;;Noor Mulatasih;MUHAMAD SIDIQ;A;Kurikulum Merdeka;-;Jl. Kemakmuran Nomor 5;62 / 16;Klitren;Klitren;55222;-7;110;9;17;26;0;5;5;9;22;31;251;242;493;18;1;2;0;18;
SD NEGERI DEMANGAN;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403480;Negeri;SD;Pemerintah Daerah;Jan-05;03/01/2005;422/2175;22/04/2022;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDNEGERIDEMANGAN/BOSNAS...;-;-;-;-;;;Noor Mulatasih;Wahyudin Jamil;A;Kurikulum Merdeka;-;Jl. Munggur 38;15-May;Demangan;Demangan;55221;-7;110;5;12;17;4;0;4;9;12;21;157;162;319;14;1;0;0;12;
SD NEGERI KLITREN;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403433;Negeri;SD;Pemerintah Daerah;422/2175;02/02/1970;422/2175;01/01/1910;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDNEGERIKLITREN/BOSNAS...;-;-;-;-;;;Sri Wahyuni;Mia Maratul Muslihah;A;Kurikulum Merdeka;-;Jl. Kemakmuran No. 11;60 / 16;Klitren;Klitren;55222;-7;110;2;8;10;1;3;4;3;11;14;62;65;127;7;1;1;0;6;
SD NEGERI SERAYU;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20406511;Negeri;SD;Pemerintah Daerah;11.12.00.08.12.01.07/06.0;01/01/1946;-;01/01/1910;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDNEGERISERAYU/BOSNAS...;-;-;-;-;;;Netty Endri Widiastuti;Hastra Quroti 'Ayun Nisa;A;Kurikulum Merdeka;-;Jl. Juadi 2;05-Feb;-;KOTABARU;55224;-7;110;6;14;20;3;2;5;9;16;25;173;157;330;13;1;2;0;12;
SD NEGERI TERBANSARI I;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403205;Negeri;SD;Pemerintah Daerah;INPRES NO 7 TAHUN 1980;01/01/1981;INPRES NO 7 TAHUN 1980;01/01/1981;K - Kesulitan Belajar;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDNEGERITERBANSARI1/BOSNAS...;-;-;-;-;;;Edy Yuliyanto;AGNI DWI NUGROHO;A;Kurikulum Merdeka;-;Terban Gk V/ 117 Yogyakarta;0 / 0;Terban;Terban;55223;-7;110;3;7;10;3;1;4;6;8;14;79;61;140;7;1;1;0;6;
SD NEGERI UNGARAN I;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403220;Negeri;SD;Pemerintah Daerah;;01/01/1910;-;01/01/1910;H - Hiperaktif;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDNEGERIUNGARAN1/BOSNAS...;-;-;-;-;;;Sudarmadi;;A;Kurikulum Merdeka;-;Jalan Serma Taruna Ramli 3;19-Apr;Jl. Serma Taruna Ramli No.3 Kotabaru Yogyakarta;Kotabaru;55224;-7;110;12;24;36;6;3;9;18;27;45;374;311;685;26;1;3;0;24;
SD JOANNES BOSCO YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20406631;Swasta;SD;Yayasan;No.HVV/076.a/91/S.2030;01/01/1970;422/1079.41;07/02/2023;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG  SENOPATI...;SDJOANNESBOSCOYOGYAKARTA/BOSNAS...;-;-;-;-;;;MM. Dwi Rahayu;Ambrosius Cahya Widayanta;A;Kurikulum Merdeka;-;Jl. Melati Wetan No.53;0 / 0;Baciro;Baciro;55225;-7;110;9;13;22;2;5;7;11;18;29;240;191;431;18;1;2;0;18;
SD KANISIUS GAYAM I;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403413;Swasta;SD;Yayasan;SKY/244/83/S.210;14/03/1983;SKY/244/83/S.210;01/01/1910;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDKANISIUSGAYAMIYOGYAKARTA/BOSNAS...;-;-;-;-;;;Elisabeth Listriyani;Rarastiti Adventia Ekaristi Purwahyono;A;Kurikulum Merdeka;-;Jl. Ki Mangunsarkoro 80;0 / 0;Baciro;Baciro;55225;-7;110;3;4;7;1;3;4;4;7;11;28;24;52;6;1;2;0;5;
SD KANISIUS KOTABARU I;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403417;Swasta;SD;Yayasan;SKy/244/83/S224;14/03/1983;SKy/244/83/S224;14/03/1983;Tidak ada;BPD;Senopati;SD KANISIUS KOTABARU;-;-;-;-;;;Dewi Marlina Candrawati;;A;Kurikulum Merdeka;-;Jl. Abubakar Ali 2b;0 / 0;Kotabaru;Kotabaru;55224;-7;110;3;8;11;1;2;3;4;10;14;60;71;131;6;1;1;0;6;
SD LHI JUARA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20409843;Swasta;SD;Yayasan;29;16/06/2009;188/DIKDAS/2636;18/08/2010;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDJUARAYOGYAKARTA/BOSNAS...;-;-;-;-;;;Lilik Siswati;Lilis Dewi Prastyawati;Tidak diisi;Kurikulum Merdeka;-;Jl.Gayam No.9;05-Feb;Mangkukusuman;Baciro;55225;-7;110;3;5;8;1;3;4;4;8;12;65;41;106;6;1;1;0;6;
SD MASJID SYUHADA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403406;Swasta;SD;Yayasan;50/12/KPTS/1995;25/07/1995;12/KPTS//1995;03/04/1995;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDMASJIDSYUHADA/BOSNAS...;-;-;-;-;;;Eko Harjanto;Lisa Diah Kuswari;A;Kurikulum Merdeka;-;Jl. I Dewa Nyoman Oka 11 A RT 18/ RW 4;18-Apr;KOTABARU;Kotabaru;55224;-7;110;7;22;29;8;3;11;15;25;40;264;235;499;23;1;1;0;19;
SD MUHAMMADIYAH DEMANGAN;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403341;Swasta;SD;Yayasan;E-1/531/a/VIII/1994;01/07/1979;421/547;01/07/1994;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDMUHAMMADIYAHDEMANGANYOGYAKARTA/BOSNAS...;-;-;-;-;;;Ani Sulistyaningsih;Yus Haryanto;A;Kurikulum Merdeka;-;Jln Jatayu GK I/226;01-Jan;;Demangan;55221;-7;110;8;12;20;2;4;6;10;16;26;175;184;359;16;1;2;0;15;
SD MUHAMMADIYAH GENDENG;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403342;Swasta;SD;Yayasan;2289/L-1840/DIY-68/77;01/08/1968;E-1/278/77;26/02/1977;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDMUHAMMADIYAHGENDENG/BOSNAS...;-;-;-;-;;;Taufiqurrahman;Arfira Rizki Andarista;Tidak diisi;Kurikulum Merdeka;-;Jl. Melati Wetan GK IV/374;54 / 14;Gendeng;Baciro;55225;-7;110;4;7;11;2;3;5;6;10;16;70;76;146;11;1;1;0;8;
SD MUHAMMADIYAH SAGAN;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20404156;Swasta;SD;Yayasan;3209/L-2025/DIY-69/77;01/09/1977;422/4880.2;31/08/2020;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDMUHAMMADIYAHSAGAN/BOSNAS...;-;-;-;-;;;Suwarjo;Avi Ardhianta;A;Kurikulum Merdeka;-;Jl Sagan Baru III GK V/1046 Yogyakarta;0 / 0;;Terban;55223;-7;110;10;14;24;6;3;9;16;17;33;200;164;364;19;2;3;0;16;
SD MUHAMMADIYAH SAPEN 1;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403327;Swasta;SD;Yayasan;2887/ L-1838/ DIY-66/ 77;01/08/1967;2887/ L-1838/ DIY-66/ 77;01/09/1967;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI KOTA YOGYAKARTA...;SDMUHAMMADIYAHSAPEN1/BOSNAS...;-;-;-;-;;;Agung Rahmanto;ILHAM NURVIANTO;A;Kurikulum Merdeka;-;Jl. Bimokurdo No.33 Yogyakarta;24-Jul;SAPEN;Demangan;55221;-7;110;17;20;37;9;2;11;26;22;48;368;403;771;39;2;3;0;28;
SD MUHAMMADIYAH SAPEN II;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403328;Swasta;SD;Yayasan;2887/ L-1838/ DIY-66/ 77;01/08/1967;2887/ L-1838/ DIY-66/ 77;01/09/1967;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDMUHAMMADIYAHSAPEN2/BOSNAS...;-;-;-;-;;;Munirul Amin;ANDHIKA ROOMANDIARY PHANARONK;A;Kurikulum Merdeka;-;Jl. Bimokurdo No.33 Yogyakarta;24-Jul;SAPEN;Demangan;55521;-7;110;15;24;39;11;0;11;26;24;50;502;519;1021;39;3;4;0;33;
SMP NEGERI 1 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403266;Negeri;SMP;Pemerintah Daerah;2106/B.II;11/09/1942;2106/B.II;23/07/1951;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SMPNEGERI1YOGYAKARTAQQBOSNAS...;-;-;-;-;;;Binarsih Sukaryanti;M. Mulyadi;A;Kurikulum Merdeka;-;Jl. Cik Di Tiro No 29 Yogyakarta 55223;10-Feb;Terban;Terban;55223;-7;110;15;32;47;10;4;14;25;36;61;379;421;800;25;1;7;0;25;
SMP NEGERI 5 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403257;Negeri;SMP;Pemerintah Daerah;2106/B.II;23/07/1951;2106/B.II 23.7.51;23/07/1951;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SMPNEGERI5YOGYAKARTA/BOS...;-;-;-;-;;;Siti Arina Budiastuti;Sutardi;A;Kurikulum Merdeka;-;Jalan Wardani 1 Yogyakarta;0 / 0;Kotabaru;Kotabaru;55224;-7;110;24;34;58;8;7;15;32;41;73;471;482;953;30;1;10;1;30;
SMP NEGERI 8 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403260;Negeri;SMP;Pemerintah Daerah;187/SK/B/11/111/60;25/05/1960;187/SK/B/11/111/60;25/05/1960;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG  UTAMA YOGYAKARTA...;SMPNEGERI8YOGYAKARTAQQBOSNAS...;-;-;-;-;;;Binarsih Sukaryanti;Vita Rahayu;A;Kurikulum Merdeka;-;Jalan Prof. Dr. Kahar Muzakir 2 Yogyakarta;0 / 0;Terban;Terban;55223;-7;110;21;37;58;10;6;16;31;43;74;449;508;957;30;1;9;0;30;
SMP BOPKRI 3 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403300;Swasta;SMP;Yayasan;0542/P/61;06/11/1961;0350 / H / 1986;01/08/1961;Tidak ada;BPD DIY;SENOPATI;SMP BOPKRI 3/BOSNAS;-;-;-;-;;;Catur Suryo Nugroho;Catur Suryo Nugroho;A;Kurikulum Merdeka;-;Jl. Cik Di Tiro 39;0 / 0;;Terban;55223;-7;110;4;13;17;2;4;6;6;17;23;122;75;197;10;1;3;0;8;
SMP BUDYA WACANA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403302;Swasta;SMP;Yayasan;585/P/Y-11/Rb/72;05/06/1959;585/P/Y-11/72;07/11/1972;Tidak ada;BPD DIY;Senopati;SMP Budya Wacana Yogyakarta;-;-;-;-;;;Adhika Ayu Pratisthita;Marcus Tri Purwanto;A;Kurikulum Merdeka;-;Jl. Bung Tardjo/gayam 11;0 / 0;;Baciro;55225;-7;110;6;11;17;10;3;13;16;14;30;84;82;166;8;1;4;0;7;
SMP INSTITUT INDONESIA YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20404164;Swasta;SMP;Yayasan;032/sk/y/k-9/1983;01/09/1983;032/sk/y/k-9/1983;01/09/1983;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG  SENOPATI...;SMPINSTITUTINDONESIA/BOSNAS...;-;-;-;-;;;Martanto Adi Purwanto;Neny Sarlinawati;B;Kurikulum Merdeka;-;Jl Urip Sumoharjo Yogyakarta;May-13;kepuh;Klitren;55222;-7;110;4;5;9;1;3;4;5;8;13;35;11;46;6;1;2;0;3;
SMP IT MASJID SYUHADA YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20404165;Swasta;SMP;Yayasan;188/853;25/03/2004;188/853;25/03/2004;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SMPISLAMTERPADUMASJIDSYUHADA/BOSNAS...;-;-;-;-;;;Meilani Noor Khasanah;HADI SETYANINGSIH;A;Kurikulum Merdeka;-;Jl. I Dewa Nyoman Oka No. 28 Kotabaru;18-Apr;;Kotabaru;55224;-7;110;12;13;25;4;4;8;16;17;33;156;128;284;12;2;0;0;10;
SMP JOANNES BOSCO;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403229;Swasta;SMP;Yayasan;013/F/1984;02/01/1984;0355/H/1986;12/05/1986;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SMPJOANNESBOSCOYOGYAKARTA/BOSNAS...;-;-;-;-;;;Fransiskus Haryo Tri Aji;Yohanes Agung Saputra;A;Kurikulum Merdeka;-;Jalan Melati Wetan 51;79 / 19;;Baciro;55225;-7;110;3;14;17;4;1;5;7;15;22;147;116;263;15;1;5;0;10;
SMP KANISIUS GAYAM YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403273;Swasta;SMP;Yayasan;0411/H/1986;05/04/1986;0411/H/1986;19/05/1986;Tidak ada;BPD;Senopati;SMP KANISIUS GAYAM;-;-;-;-;;;Antonius Tatak Handaya Kurniawan;YUSTINA WIJI ASTUTI;A;Kurikulum Merdeka;-;Jl. dr. Soetomo No. 16;06-Feb;Mangkukusuman;Baciro;55225;-7;110;4;10;14;3;1;4;7;11;18;157;125;282;10;1;4;0;10;
SMP MUHAMMADIYAH 10 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403243;Swasta;SMP;Yayasan;2921/M.596/DIY.76/77;01/01/1977;018/C/KEP/I 8;07/01/1985;Tidak ada;BPD DIY Syariah;SENOPATI;SMP Muhammadiyah 10 Yogyakarta;-;-;-;-;;;Esti Priyantini;Edi Purnomo;A;Kurikulum Merdeka;-;Sagan Gk. V/ 1046;44 / 9;Terban;TERBAN;55223;-7;110;6;14;20;4;4;8;10;18;28;132;102;234;9;1;2;0;9;
SMP PIRI 1 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20404167;Swasta;SMP;Lainnya;67/SK/57;01/08/1957;014/E S/P/U/IK/79;01/08/1979;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SMPPIRI1YOGYAKARTA/BOSNAS...;-;-;-;-;;;Budi Prasetyo Dewo Broto;;A;Kurikulum Merdeka;-;Jl. Kemuning 14 Baciro Yogyakarta;89 / 9;Baciro;Baciro;55225;-7;110;5;6;11;4;1;5;9;7;16;38;40;78;8;1;3;0;3;
SMAN 3 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403178;Negeri;SMA;Pemerintah Daerah;421/06166;05/07/1918;421/06167;02/01/1919;Tidak ada;BPD;CABANG SENOPATI;SMAN 3 YOGYAKARTA;-;-;-;-;;;Suhirno;;A;Kurikulum Merdeka;-;Jalan Laksda Laut Yos Sudarso No : 7;03-May;Kotabaru;Kotabaru;55224;-7;110;18;27;45;12;8;20;30;35;65;310;441;751;21;2;11;0;21;
SMAN 6 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403171;Negeri;SMA;Pemerintah Daerah;421/06803;12/07/2019;421/06811.a;12/07/2019;A - Tuna netra;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SMANEGERI6YOGYAKARTA...;-;-;-;-;;;Sri Moerni;Nurhuda;A;Kurikulum Merdeka;-;JL. C. SIMANJUNTAK 2;0 / 0;Terban;Terban;55223;-7;110;8;32;40;11;5;16;19;37;56;355;511;866;26;1;8;0;24;
SMAN 9 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403162;Negeri;SMA;Pemerintah Daerah;0709/0/1986;10/10/1985;453/I/MENPAN/9/1986;09/09/1986;B, F;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SMAN9YOGYAKARTA...;-;-;-;-;;;Sri Moerni;Triyadi;A;Kurikulum Merdeka;-;JL. SAGAN 1 YOGYAKARTA;0 / 0;Sagan;Terban;55223;-7;110;17;22;39;9;5;14;26;27;53;308;448;756;24;1;4;0;21;
SMA Masjid Syuhada;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;70054673;Swasta;SMA;Yayasan;115 TAHUN 2025;09/04/2025;115 TAHUN 2025;09/04/2025;Tidak ada;;;;-;-;-;-;;;Kusworo;Taufiq Asnadi;Tidak diisi;Kurikulum Merdeka;-;Jl. I Dewa Nyoman Oka no 26;/;;Kotabaru;;0;0;0;0;0;1;0;1;1;0;1;6;9;15;1;1;1;0;1;
SMAS BOPKRI 1;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403227;Swasta;SMA;Yayasan;0520/H/1986;24/06/1986;0520/H/1986;24/06/1986;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SMABOPKRI1YOGYAKARTA...;-;-;-;-;;;Sri Sulastri;Dafi Hirdhananda;A;Kurikulum Merdeka;-;JL. WARDANI NO. 2 YOGYAKARTA;09-Feb;Kotabaru;Kotabaru;55224;-7;110;25;23;48;18;11;29;43;34;77;431;310;741;35;2;6;0;22;
SMAS BOPKRI 2;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403182;Swasta;SMA;Yayasan;172/PENG/SMA-BP/XI/1979;17/11/1979;1835/I.13.4/I/1K/1984;28/04/1984;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG  UTAMA...;SMABOPKRI2YOGYAKARTA...;-;-;-;-;;;Yudha Kusniyanto;Didik Prasetyo;A;Kurikulum Merdeka;-;JL. JEND. SUDIRMAN NO.87;55 / 12;Terban;Terban;55223;-7;110;6;17;23;11;6;17;17;23;40;186;168;354;16;1;6;3;12;
SMAS BUDYA WACANA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403151;Swasta;SMA;Yayasan;75171/D/1/78;01/01/1978;147/c3.3/F.78.;11/04/1978;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SMABUDYAWACANAYOGYAKARTA/BOSDA...;-;-;-;-;;;Ari Kristiani;Sih Hendri Saptati;B;Kurikulum Merdeka;-;JL. Cik Ditiro, Terban GK V / 248 yogyakarta 55223;10-Feb;Terban;Terban;55223;-7;110;5;7;12;8;3;11;13;10;23;44;32;76;11;2;6;0;3;
SMAS PIRI 1 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20404176;Swasta;SMA;Yayasan;0522/H/1986;24/06/1986;0522/H/1986;24/06/1986;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SMAPIRIIYOGYAKARTA(BOSDA)...;-;-;-;-;;;Sri Rejeki;Yuli Saptowati;Tidak diisi;Kurikulum Merdeka;-;JL. KEMUNING 14 YOGYAKARTA;89 / 21;-;Baciro;55225;-7;110;2;7;9;3;2;5;5;9;14;23;33;56;10;1;5;0;3;
SMAS STELLA DUCE 1;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Gondokusuman;20403145;Swasta;SMA;Yayasan;0528/H/1986;01/01/1901;014/I13/H/Kpts/1991;01/01/1900;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG (006)  SENOPATI...;SMASTELLADUCEIYOGYA/BOSDA...;-;-;-;-;;;Paula Arum Rumekar;Petrus Yunanto Aries Prihanto;A;Kurikulum Merdeka;-;JL. SABIRIN 1-3;0 / 0;Kotabaru;Kotabaru;55224;-7;110;17;35;52;7;7;14;24;42;66;0;824;824;24;2;6;0;24;
